LocationAbbr,YearStart,Stratification1,High blood pressure,High cholesterol,Taking medicine for high cholesterol,Taking medicine to control high blood pressure,high_risk
MS,2021,Overall,53.8,35.55,35.2,76.94999999999999,1
MS,2021,"White, non-Hispanic",50.650000000000006,36.6,36.150000000000006,75.85,1
MT,2019,"American Indian or Alaska Native, non-Hispanic",44.35,25.450000000000003,25.0,71.95,1
MT,2019,Female,31.6,25.8,25.549999999999997,66.4,0
MT,2019,Male,40.25,29.4,29.1,59.25,1
MT,2019,Overall,35.9,27.55,27.299999999999997,62.199999999999996,1
MT,2019,"White, non-Hispanic",35.35,27.95,27.6,61.85,0
MT,2021,"American Indian or Alaska Native, non-Hispanic",42.400000000000006,25.0,24.9,64.1,1
MT,2021,Female,33.4,26.0,25.85,71.75,0
MT,2021,Hispanic,29.25,20.299999999999997,20.299999999999997,,1
MT,2021,Male,39.85,29.4,29.1,63.95,1
MT,2021,Overall,36.7,27.65,27.450000000000003,67.5,1
MT,2021,"White, non-Hispanic",36.65,28.2,28.0,68.9,1
NC,2019,"American Indian or Alaska Native, non-Hispanic",59.8,40.349999999999994,39.9,68.9,1
NC,2019,"Black, non-Hispanic",56.4,32.35,31.95,71.95,1
NC,2019,Female,42.75,33.5,33.25,72.0,0
NC,2019,Hispanic,24.950000000000003,27.799999999999997,27.65,57.75,0
NC,2019,Male,44.3,31.95,31.5,61.6,1
NC,2019,Overall,43.45,32.75,32.45,66.75,1
NC,2019,"White, non-Hispanic",41.9,33.2,32.85,63.85,1
NC,2021,"American Indian or Alaska Native, non-Hispanic",56.9,31.25,30.75,64.65,1
NC,2021,"Asian, non-Hispanic",,18.9,18.9,,0
NC,2021,"Black, non-Hispanic",57.2,32.95,32.85,76.69999999999999,1
NC,2021,Female,42.4,32.7,32.5,74.44999999999999,0
NC,2021,Hispanic,31.35,27.55,27.450000000000003,53.0,0
NC,2021,Male,44.900000000000006,35.6,35.45,70.05,1
NC,2021,"Multiracial, non-Hispanic",25.9,37.35,37.35,,0
NC,2021,Overall,43.55,34.099999999999994,33.9,72.25,1
NC,2021,"White, non-Hispanic",41.75,35.8,35.6,71.15,1
ND,2019,"American Indian or Alaska Native, non-Hispanic",53.9,27.25,27.15,69.7,1
ND,2019,Female,35.95,26.0,25.75,72.25,0
ND,2019,Male,40.55,27.200000000000003,27.049999999999997,64.3,1
ND,2019,Overall,38.35,26.6,26.4,67.25,0
ND,2019,"White, non-Hispanic",38.25,27.1,26.9,68.15,0
ND,2021,"American Indian or Alaska Native, non-Hispanic",52.6,29.35,29.15,62.400000000000006,1
ND,2021,Female,36.15,30.6,30.5,75.5,0
ND,2021,Male,42.45,31.7,31.5,67.15,1
ND,2021,Overall,39.400000000000006,31.25,31.1,70.65,0
ND,2021,"White, non-Hispanic",39.1,31.299999999999997,31.1,72.05,0
NE,2019,"American Indian or Alaska Native, non-Hispanic",57.7,38.6,38.5,82.55,1
NE,2019,"Asian, non-Hispanic",19.4,28.1,28.1,,0
NE,2019,"Black, non-Hispanic",48.099999999999994,25.45,25.45,69.3,1
NE,2019,Female,37.1,28.1,27.9,73.35,0
NE,2019,Hispanic,30.299999999999997,22.6,22.5,52.099999999999994,0
NE,2019,Male,40.849999999999994,29.6,29.4,61.3,1
NE,2019,Overall,39.0,28.85,28.65,66.44999999999999,0
NE,2019,"White, non-Hispanic",39.5,29.650000000000002,29.45,68.30000000000001,0
NE,2021,"American Indian or Alaska Native, non-Hispanic",49.050000000000004,32.25,32.25,76.1,1
NE,2021,"Black, non-Hispanic",59.6,29.95,29.95,69.7,1
NE,2021,Female,36.65,30.4,30.200000000000003,74.9,0
NE,2021,Hispanic,29.599999999999998,28.35,28.15,61.25,0
NE,2021,Male,43.1,33.85,33.650000000000006,66.6,1
NE,2021,Overall,39.9,32.05,31.85,70.0,0
NE,2021,"White, non-Hispanic",40.4,32.650000000000006,32.45,71.05,1
NH,2019,Female,34.45,26.65,26.5,66.75,0
NH,2019,Male,40.8,33.8,33.349999999999994,61.95,1
NH,2019,Overall,37.6,30.2,29.950000000000003,64.1,0
NH,2019,"White, non-Hispanic",37.95,30.25,29.95,65.15,0
NH,2021,Female,32.0,27.3,27.1,68.9,0
NH,2021,Hispanic,37.05,26.4,26.4,,1
NH,2021,Male,41.2,33.65,33.35,64.9,1
NH,2021,Overall,36.5,30.4,30.200000000000003,66.55,0
NH,2021,"White, non-Hispanic",37.25,30.75,30.5,66.35,1
NJ,2021,"Asian, non-Hispanic",28.4,35.650000000000006,35.349999999999994,74.2,0
NJ,2021,"Black, non-Hispanic",48.4,31.549999999999997,31.2,74.6,1
NJ,2021,Female,35.0,32.75,32.4,75.55000000000001,0
NJ,2021,Hispanic,35.65,37.5,37.150000000000006,68.85,0
NJ,2021,Male,42.8,37.75,37.3,67.7,1
NJ,2021,"Multiracial, non-Hispanic",40.35,29.25,29.25,,0
NJ,2021,Overall,38.75,35.1,34.75,71.1,1
NJ,2021,"White, non-Hispanic",39.35,34.95,34.5,69.69999999999999,1
NM,2019,"American Indian or Alaska Native, non-Hispanic",39.3,26.5,26.5,67.65,0
NM,2019,"Black, non-Hispanic",42.3,27.75,27.15,,1
NM,2019,Female,36.1,26.85,26.65,71.9,0
NM,2019,Hispanic,39.0,27.7,27.5,67.1,1
NM,2019,Male,42.05,31.349999999999998,31.15,61.4,1
NM,2019,Overall,39.0,28.950000000000003,28.8,65.65,1
NM,2019,"White, non-Hispanic",39.5,30.9,30.55,63.2,1
NM,2021,"American Indian or Alaska Native, non-Hispanic",36.95,27.799999999999997,27.450000000000003,71.2,0
NM,2021,"Black, non-Hispanic",34.6,28.45,28.45,,1
NM,2021,Female,39.1,32.45,32.349999999999994,72.8,0
NM,2021,Hispanic,38.5,33.05,32.95,69.9,0
NM,2021,Male,41.1,33.95,33.7,63.8,1
NM,2021,Overall,40.099999999999994,33.15,32.95,67.44999999999999,1
NM,2021,"White, non-Hispanic",42.25,35.45,35.2,64.6,1
NV,2019,"Asian, non-Hispanic",36.8,34.5,34.5,,0
NV,2019,"Black, non-Hispanic",41.849999999999994,24.9,24.75,61.65,1
NV,2019,Female,38.45,32.6,32.2,66.75,0
NV,2019,Hispanic,30.9,33.15,32.75,54.849999999999994,0
NV,2019,Male,42.85,32.15,31.85,53.3,1
NV,2019,"Multiracial, non-Hispanic",25.6,23.05,23.05,,0
NV,2019,Overall,40.7,32.4,32.05,59.15,1
NV,2019,"White, non-Hispanic",41.95,32.25,31.9,58.050000000000004,1
NV,2021,"Asian, non-Hispanic",25.0,42.25,42.25,,1
NV,2021,"Black, non-Hispanic",57.15,26.6,26.5,75.55,1
NV,2021,Female,36.25,31.8,31.5,66.85,1
NV,2021,Hispanic,32.4,27.95,27.75,55.4,0
NV,2021,Male,43.599999999999994,36.45,35.95,63.95,1
NV,2021,"Multiracial, non-Hispanic",37.4,50.75,50.75,,1
NV,2021,Overall,39.95,34.05,33.7,65.30000000000001,1
NV,2021,"White, non-Hispanic",42.0,36.900000000000006,36.35,66.35,1
NY,2019,"American Indian or Alaska Native, non-Hispanic",46.400000000000006,31.5,31.5,,0
NY,2019,"Asian, non-Hispanic",33.45,30.3,29.85,67.8,1
NY,2019,"Black, non-Hispanic",48.7,31.0,30.900000000000002,75.95,1
NY,2019,Female,34.5,29.35,29.049999999999997,77.05000000000001,0
NY,2019,Hispanic,36.25,30.05,29.6,66.7,1
NY,2019,Male,40.849999999999994,32.1,31.75,64.85,1
NY,2019,"Multiracial, non-Hispanic",40.2,35.2,33.8,61.5,0
NY,2019,Overall,37.55,30.700000000000003,30.35,70.15,1
NY,2019,"White, non-Hispanic",36.150000000000006,31.15,30.900000000000002,68.55,1
NY,2021,"American Indian or Alaska Native, non-Hispanic",46.9,30.75,30.75,73.65,0
NY,2021,"Asian, non-Hispanic",37.05,37.7,37.150000000000006,72.3,0
NY,2021,"Black, non-Hispanic",49.05,31.5,31.15,70.75,1
NY,2021,Female,36.4,32.45,32.1,74.6,0
NY,2021,Hispanic,37.05,32.95,32.75,64.6,1
NY,2021,Male,41.3,35.95,35.7,66.55,1
NY,2021,"Multiracial, non-Hispanic",38.45,28.65,28.5,56.55,0
NY,2021,Overall,38.75,34.150000000000006,33.8,70.2,1
NY,2021,"White, non-Hispanic",37.55,35.05,34.7,71.5,1
OH,2019,"Asian, non-Hispanic",10.8,19.8,19.8,,0
OH,2019,"Black, non-Hispanic",53.2,29.75,29.45,65.5,1
OH,2019,Female,38.7,28.95,28.75,71.6,1
OH,2019,Hispanic,35.75,23.85,23.85,52.150000000000006,0
OH,2019,Male,45.1,31.9,31.650000000000002,62.75,1
OH,2019,"Multiracial, non-Hispanic",47.5,27.45,27.3,60.6,0
OH,2019,Overall,41.85,30.4,30.1,66.65,1
OH,2019,"White, non-Hispanic",40.849999999999994,31.35,31.049999999999997,67.45,1
OH,2021,"American Indian or Alaska Native, non-Hispanic",47.599999999999994,38.25,38.25,,0
OH,2021,"Asian, non-Hispanic",16.9,26.5,26.5,,0
OH,2021,"Black, non-Hispanic",52.4,27.05,26.95,71.15,1
OH,2021,Female,41.05,31.25,30.950000000000003,72.0,1
OH,2021,Hispanic,32.5,28.9,28.799999999999997,65.94999999999999,0
OH,2021,Male,45.75,34.6,34.400000000000006,68.2,1
OH,2021,"Multiracial, non-Hispanic",48.3,27.4,27.3,66.44999999999999,0
OH,2021,Overall,43.3,32.8,32.599999999999994,70.05,1
OH,2021,"White, non-Hispanic",42.75,34.05,33.85,70.15,1
OK,2019,"American Indian or Alaska Native, non-Hispanic",54.050000000000004,29.6,29.299999999999997,68.35,1
OK,2019,"Asian, non-Hispanic",28.3,26.9,26.4,,0
OK,2019,"Black, non-Hispanic",57.0,30.25,30.1,76.0,1
OK,2019,Female,44.8,33.400000000000006,33.05,72.1,1
OK,2019,Hispanic,37.75,32.1,31.7,68.2,0
OK,2019,Male,50.75,34.8,34.45,68.1,1
OK,2019,"Multiracial, non-Hispanic",56.349999999999994,33.099999999999994,32.8,62.85,1
OK,2019,Overall,47.75,34.1,33.75,69.75,1
OK,2019,"White, non-Hispanic",47.150000000000006,35.4,35.1,70.55,1
OK,2021,"American Indian or Alaska Native, non-Hispanic",52.65,32.2,32.0,70.1,1
OK,2021,"Black, non-Hispanic",57.85,38.55,38.55,75.6,1
OK,2021,Female,44.05,32.7,32.45,72.55,1
OK,2021,Hispanic,40.55,33.15,32.45,50.15,0
OK,2021,Male,51.650000000000006,37.25,36.7,67.6,1
OK,2021,"Multiracial, non-Hispanic",53.6,36.75,36.45,67.9,1
OK,2021,Overall,47.75,34.9,34.45,69.95,1
OK,2021,"White, non-Hispanic",47.8,35.05,34.65,70.8,1
OR,2019,"American Indian or Alaska Native, non-Hispanic",38.7,29.6,29.45,,0
OR,2019,"Asian, non-Hispanic",21.4,21.45,21.45,,0
OR,2019,"Black, non-Hispanic",37.0,25.700000000000003,25.55,,1
OR,2019,Female,35.2,27.2,26.9,67.55,0
OR,2019,Hispanic,31.05,25.3,25.2,55.45,0
OR,2019,Male,40.45,28.9,28.5,58.7,1
OR,2019,"Multiracial, non-Hispanic",33.5,26.200000000000003,26.15,60.0,0
OR,2019,Overall,37.85,28.1,27.7,62.650000000000006,0
OR,2019,"White, non-Hispanic",38.55,29.0,28.65,62.45,0
OR,2021,"American Indian or Alaska Native, non-Hispanic",30.4,17.1,17.1,,0
OR,2021,"Asian, non-Hispanic",18.3,27.1,26.950000000000003,,0
OR,2021,"Black, non-Hispanic",25.6,18.9,18.9,,1
OR,2021,Female,35.95,28.85,28.6,65.8,0
OR,2021,Hispanic,31.05,28.45,27.9,48.349999999999994,0
OR,2021,Male,40.150000000000006,30.9,30.55,58.949999999999996,1
OR,2021,"Multiracial, non-Hispanic",47.95,34.349999999999994,33.95,,0
OR,2021,Overall,38.0,29.9,29.599999999999998,61.949999999999996,0
OR,2021,"White, non-Hispanic",38.849999999999994,30.85,30.55,63.699999999999996,0
PA,2019,"Asian, non-Hispanic",15.3,22.85,22.75,,0
PA,2019,"Black, non-Hispanic",56.199999999999996,25.45,25.3,75.35,1
PA,2019,Female,39.1,29.7,29.55,72.85,0
PA,2019,Hispanic,29.549999999999997,30.5,30.5,60.15,0
PA,2019,Male,42.65,32.4,32.150000000000006,66.3,1
PA,2019,"Multiracial, non-Hispanic",21.7,39.25,39.25,,0
PA,2019,Overall,40.849999999999994,30.95,30.75,69.4,1
PA,2019,"White, non-Hispanic",40.400000000000006,31.8,31.549999999999997,68.6,1
PA,2021,"Asian, non-Hispanic",23.65,23.15,23.0,,0
PA,2021,"Black, non-Hispanic",54.45,30.95,30.85,77.55,1
PA,2021,Female,37.95,30.299999999999997,30.1,73.65,0
PA,2021,Hispanic,39.7,29.700000000000003,29.65,52.5,0
PA,2021,Male,44.65,33.3,33.1,67.25,1
PA,2021,"Multiracial, non-Hispanic",40.4,23.55,23.55,,0
PA,2021,Overall,41.150000000000006,31.799999999999997,31.6,69.7,1
PA,2021,"White, non-Hispanic",40.55,32.4,32.2,70.44999999999999,1
RI,2019,"Asian, non-Hispanic",15.2,22.35,22.15,,1
RI,2019,"Black, non-Hispanic",48.6,25.75,25.4,72.55,0
RI,2019,Female,36.85,28.0,27.8,72.55,0
RI,2019,Hispanic,42.55,30.2,29.549999999999997,57.65,0
RI,2019,Male,43.95,33.599999999999994,33.45,66.05000000000001,1
RI,2019,Overall,40.25,30.65,30.5,68.75,1
RI,2019,"White, non-Hispanic",40.05,31.049999999999997,30.9,71.1,1
RI,2021,"Asian, non-Hispanic",27.0,32.25,32.25,,0
RI,2021,"Black, non-Hispanic",49.25,25.75,25.65,76.0,0
RI,2021,Female,37.7,30.7,30.55,74.75,0
RI,2021,Hispanic,38.2,33.15,32.95,74.45,0
RI,2021,Male,43.7,32.85,32.45,71.85,1
RI,2021,Overall,40.599999999999994,31.7,31.450000000000003,73.25,1
RI,2021,"White, non-Hispanic",40.599999999999994,32.0,31.75,72.35,1
SC,2019,"Black, non-Hispanic",56.449999999999996,32.45,32.25,76.94999999999999,1
SC,2019,Female,44.75,34.2,33.75,75.1,0
SC,2019,Hispanic,31.200000000000003,19.65,19.15,,0
SC,2019,Male,49.15,33.95,33.6,68.5,1
SC,2019,Overall,46.849999999999994,34.05,33.7,71.45,1
SC,2019,"White, non-Hispanic",44.9,35.8,35.4,69.95,1
SC,2021,"American Indian or Alaska Native, non-Hispanic",57.7,41.65,41.65,,1
SC,2021,"Asian, non-Hispanic",,22.85,22.85,,0
SC,2021,"Black, non-Hispanic",58.7,33.1,32.95,74.9,1
SC,2021,Female,45.3,35.05,34.85,77.45,0
SC,2021,Hispanic,29.75,23.5,22.700000000000003,59.650000000000006,0
SC,2021,Male,47.0,34.6,34.35,72.1,1
SC,2021,Overall,46.099999999999994,34.85,34.6,74.85,1
SC,2021,"White, non-Hispanic",43.05,36.7,36.45,74.2,1
SD,2019,"American Indian or Alaska Native, non-Hispanic",40.65,25.799999999999997,25.700000000000003,58.3,1
SD,2019,Female,35.15,24.85,24.6,68.85,0
SD,2019,Male,41.650000000000006,27.5,26.95,62.65,1
SD,2019,Overall,38.4,26.15,25.700000000000003,65.05,1
SD,2019,"White, non-Hispanic",38.1,26.85,26.450000000000003,66.25,1
SD,2021,"American Indian or Alaska Native, non-Hispanic",43.05,27.4,27.25,65.95,1
SD,2021,Female,35.75,30.9,30.7,73.05000000000001,0
SD,2021,Male,45.3,36.3,35.849999999999994,64.0,1
SD,2021,Overall,40.55,33.55,33.2,67.1,1
SD,2021,"White, non-Hispanic",41.65,34.8,34.5,69.05000000000001,1
TN,2019,"Black, non-Hispanic",56.849999999999994,34.0,33.7,70.85,1
TN,2019,Female,44.9,32.2,31.95,72.80000000000001,1
TN,2019,Hispanic,19.8,21.55,21.55,,0
TN,2019,Male,50.95,35.55,35.0,67.85,1
TN,2019,"Multiracial, non-Hispanic",45.400000000000006,41.95,41.95,,0
TN,2019,Overall,47.8,33.8,33.4,70.2,1
TN,2019,"White, non-Hispanic",46.650000000000006,34.75,34.4,71.44999999999999,1
TN,2021,"Black, non-Hispanic",60.550000000000004,28.75,28.75,80.95,1
TN,2021,Female,44.0,33.0,32.7,80.35,1
TN,2021,Hispanic,20.4,34.05,33.7,,0
TN,2021,Male,48.7,38.75,38.4,69.5,1
TN,2021,"Multiracial, non-Hispanic",50.45,31.75,31.35,,0
TN,2021,Overall,46.3,35.7,35.3,74.25,1
TN,2021,"White, non-Hispanic",44.8,37.4,36.849999999999994,73.8,1
TX,2019,"American Indian or Alaska Native, non-Hispanic",56.7,52.55,51.4,,0
TX,2019,"Asian, non-Hispanic",33.25,33.5,32.7,75.1,0
TX,2019,"Black, non-Hispanic",53.849999999999994,32.4,32.25,73.9,1
TX,2019,Female,39.9,33.05,32.650000000000006,70.8,0
TX,2019,Hispanic,38.7,29.75,29.65,65.9,0
TX,2019,Male,44.0,33.9,33.6,66.85,1
TX,2019,"Multiracial, non-Hispanic",40.3,29.85,28.15,66.9,0
TX,2019,Overall,41.9,33.45,33.1,68.9,1
TX,2019,"White, non-Hispanic",42.3,36.2,35.75,68.15,1
TX,2021,"American Indian or Alaska Native, non-Hispanic",34.55,,,,0
TX,2021,"Asian, non-Hispanic",31.65,29.1,27.95,58.400000000000006,0
TX,2021,"Black, non-Hispanic",55.3,31.25,30.75,78.85,1
TX,2021,Female,38.75,34.65,34.45,75.15,0
TX,2021,Hispanic,35.3,32.15,32.15,61.05,1
TX,2021,Male,44.75,33.95,33.65,60.849999999999994,1
TX,2021,"Multiracial, non-Hispanic",34.8,35.15,34.900000000000006,53.0,0
TX,2021,Overall,41.650000000000006,34.3,34.05,66.69999999999999,1
TX,2021,"White, non-Hispanic",43.900000000000006,37.15,36.95,68.0,1
US,2019,"American Indian or Alaska Native, non-Hispanic",37.0,,,,0
US,2019,"Black, non-Hispanic",53.05,29.2,29.0,72.19999999999999,1
US,2019,Female,38.6,29.9,29.6,71.5,0
US,2019,Hispanic,36.15,28.9,28.65,62.8,0
US,2019,Male,43.2,32.5,32.2,63.5,1
US,2019,"Multiracial, non-Hispanic",41.75,30.450000000000003,30.1,,0
US,2019,Overall,40.85,31.15,30.849999999999998,67.05000000000001,1
US,2019,"White, non-Hispanic",40.8,32.35,32.099999999999994,66.75,1
US,2021,"American Indian or Alaska Native, non-Hispanic",38.4,,,,1
US,2021,"Asian, non-Hispanic",19.4,31.55,31.200000000000003,,0
US,2021,"Black, non-Hispanic",53.85,31.3,31.1,75.15,1
US,2021,Female,38.65,32.3,32.0,74.15,0
US,2021,Hispanic,36.25,31.65,31.450000000000003,61.75,0
US,2021,Male,43.4,34.6,34.349999999999994,65.6,1
US,2021,"Multiracial, non-Hispanic",41.65,32.55,32.35,,0
US,2021,Overall,40.95,33.4,33.15,69.35,1
US,2021,"White, non-Hispanic",40.8,34.5,34.25,69.85,1
UT,2019,"American Indian or Alaska Native, non-Hispanic",38.3,28.1,27.7,,1
UT,2019,"Asian, non-Hispanic",15.8,26.6,26.6,,0
UT,2019,"Black, non-Hispanic",24.9,,,,1
UT,2019,Female,30.8,26.75,26.450000000000003,61.5,0
UT,2019,"Hawaiian or Pacific Islander, non-Hispanic",19.3,,,,1
UT,2019,Hispanic,31.75,25.0,24.65,52.599999999999994,0
UT,2019,Male,38.55,30.7,30.4,54.05,1
UT,2019,Overall,34.7,28.65,28.4,56.9,0
UT,2019,"White, non-Hispanic",35.05,29.1,28.799999999999997,57.55,0
UT,2021,"American Indian or Alaska Native, non-Hispanic",34.55,15.7,15.7,,1
UT,2021,"Asian, non-Hispanic",21.6,30.45,29.85,,0
UT,2021,"Black, non-Hispanic",32.6,33.95,33.95,,1
UT,2021,Female,30.950000000000003,28.6,28.35,63.7,0
UT,2021,"Hawaiian or Pacific Islander, non-Hispanic",28.3,,,,1
UT,2021,Hispanic,36.75,28.9,28.700000000000003,54.6,0
UT,2021,Male,38.9,32.5,32.05,53.75,1
UT,2021,Overall,34.9,30.5,30.200000000000003,57.75,0
UT,2021,"White, non-Hispanic",35.150000000000006,31.099999999999998,30.75,58.65,1
VA,2019,"American Indian or Alaska Native, non-Hispanic",35.7,,26.299999999999997,,1
VA,2019,"Asian, non-Hispanic",33.45,28.65,28.45,,0
VA,2019,"Black, non-Hispanic",55.4,29.8,29.5,75.0,1
VA,2019,Female,40.0,28.700000000000003,28.5,73.5,0
VA,2019,Hispanic,32.65,23.25,23.200000000000003,57.8,0
VA,2019,Male,44.8,33.15,32.95,65.1,1
VA,2019,"Multiracial, non-Hispanic",35.099999999999994,34.55,34.3,59.0,0
VA,2019,Overall,42.35,30.85,30.65,68.8,0
VA,2019,"White, non-Hispanic",41.3,32.3,32.1,68.25,0
VA,2021,"American Indian or Alaska Native, non-Hispanic",35.1,,,,0
VA,2021,"Asian, non-Hispanic",23.15,38.400000000000006,37.900000000000006,57.25,0
VA,2021,"Black, non-Hispanic",57.65,32.8,32.599999999999994,72.0,1
VA,2021,Female,40.3,33.75,33.5,73.9,0
VA,2021,Hispanic,36.85,29.450000000000003,29.4,57.85,0
VA,2021,Male,46.25,38.9,38.55,66.75,1
VA,2021,"Multiracial, non-Hispanic",34.45,28.75,28.6,60.2,0
VA,2021,Overall,43.2,36.2,35.9,69.75,1
VA,2021,"White, non-Hispanic",41.35,38.05,37.75,70.65,1
VT,2019,Female,31.9,24.3,24.2,65.2,0
VT,2019,Male,41.15,31.15,30.85,62.0,1
VT,2019,Overall,36.5,27.6,27.4,63.8,1
VT,2019,"White, non-Hispanic",36.4,27.4,27.2,65.15,1
VT,2021,Female,31.75,27.15,26.950000000000003,67.65,0
VT,2021,Male,40.5,31.75,31.45,57.75,1
VT,2021,Overall,36.0,29.3,29.1,62.3,1
VT,2021,"White, non-Hispanic",36.0,29.6,29.4,62.400000000000006,1
WA,2019,"American Indian or Alaska Native, non-Hispanic",43.5,30.35,30.35,59.45,1
WA,2019,"Asian, non-Hispanic",34.45,29.3,29.049999999999997,63.6,0
WA,2019,"Black, non-Hispanic",44.2,26.2,25.95,63.349999999999994,1
WA,2019,Female,34.349999999999994,27.1,26.9,64.1,0
WA,2019,Hispanic,34.35,30.4,30.200000000000003,51.6,0
WA,2019,Male,41.9,32.45,32.15,56.699999999999996,1
WA,2019,"Multiracial, non-Hispanic",41.5,33.25,32.6,53.55,0
WA,2019,Overall,38.05,29.75,29.5,59.849999999999994,0
WA,2019,"White, non-Hispanic",38.85,29.8,29.549999999999997,60.3,0
WA,2021,"American Indian or Alaska Native, non-Hispanic",44.85,25.4,25.4,53.55,1
WA,2021,"Asian, non-Hispanic",27.5,27.549999999999997,27.549999999999997,66.0,0
WA,2021,"Black, non-Hispanic",52.35,33.5,32.8,67.1,1
WA,2021,Female,33.45,28.9,28.700000000000003,63.349999999999994,0
WA,2021,"Hawaiian or Pacific Islander, non-Hispanic",25.7,27.299999999999997,27.1,,1
WA,2021,Hispanic,33.45,26.7,26.4,57.0,0
WA,2021,Male,40.45,33.7,33.4,59.849999999999994,1
WA,2021,"Multiracial, non-Hispanic",36.400000000000006,31.75,31.5,56.349999999999994,1
WA,2021,Overall,36.900000000000006,31.25,31.0,61.4,0
WA,2021,"White, non-Hispanic",37.65,32.55,32.35,61.2,1
WI,2019,"American Indian or Alaska Native, non-Hispanic",48.6,50.05,50.0,,1
WI,2019,"Black, non-Hispanic",48.85,29.1,29.1,71.95,1
WI,2019,Female,35.05,28.799999999999997,28.700000000000003,69.9,0
WI,2019,Hispanic,36.35,24.2,24.2,,0
WI,2019,Male,41.85,33.25,33.05,62.300000000000004,1
WI,2019,Overall,38.5,30.95,30.85,65.5,1
WI,2019,"White, non-Hispanic",38.45,31.15,31.05,65.25,1
WI,2021,"American Indian or Alaska Native, non-Hispanic",39.4,30.1,30.1,73.25,1
WI,2021,"Black, non-Hispanic",53.650000000000006,31.3,30.85,75.30000000000001,1
WI,2021,Female,37.55,31.75,31.45,72.4,0
WI,2021,Hispanic,43.4,27.75,27.75,,0
WI,2021,Male,41.95,34.65,34.45,64.1,1
WI,2021,"Multiracial, non-Hispanic",,28.6,26.15,,0
WI,2021,Overall,39.75,33.150000000000006,32.9,68.1,1
WI,2021,"White, non-Hispanic",39.55,34.15,34.0,68.7,1
WV,2019,"Black, non-Hispanic",53.05,23.9,23.9,72.4,1
WV,2019,Female,48.900000000000006,35.95,35.75,76.0,1
WV,2019,Male,54.3,36.9,36.7,70.35,1
WV,2019,Overall,51.599999999999994,36.35,36.2,73.0,1
WV,2019,"White, non-Hispanic",51.6,37.05,36.900000000000006,73.80000000000001,1
WV,2021,"Black, non-Hispanic",56.35,26.9,26.9,67.95,1
WV,2021,Female,49.6,37.0,36.8,75.55,1
WV,2021,Hispanic,33.2,35.55,35.55,,0
WV,2021,Male,51.8,37.9,37.650000000000006,73.4,1
WV,2021,Overall,50.7,37.4,37.2,74.5,1
WV,2021,"White, non-Hispanic",50.8,37.900000000000006,37.7,75.85,1
WY,2019,Female,34.0,24.799999999999997,24.700000000000003,68.75,0
WY,2019,Hispanic,34.599999999999994,19.9,19.799999999999997,51.35,1
WY,2019,Male,42.05,27.45,27.15,54.75,1
WY,2019,Overall,38.1,26.1,25.9,58.849999999999994,0
WY,2019,"White, non-Hispanic",38.5,26.85,26.65,60.25,0
WY,2021,Female,32.4,28.75,28.55,69.35,0
WY,2021,Hispanic,29.25,21.1,21.1,51.2,1
WY,2021,Male,39.45,30.299999999999997,29.849999999999998,61.3,1
WY,2021,Overall,35.95,29.6,29.299999999999997,64.45,1
WY,2021,"White, non-Hispanic",36.6,30.049999999999997,29.75,65.1,1
